"Census","Prop","PropBA","Site","MeanHOM","Year"
1,0.573876794812413,0.635277744993965,"AMA",2.60242701479407,2007
2,0.551258992805755,0.610431281975114,"AMA",2.56693335980786,2013
1,0.423067888184167,0.582533414576674,"BCI",3.09101170436675,1990
2,0.481552011425851,0.642293453366046,"BCI",3.26876202797552,1995
3,0.495412844036697,0.649478158839688,"BCI",3.37631049697831,2000
4,0.508676016163537,0.652524063377771,"BCI",3.49468747550994,2005
5,0.573158914728682,0.706208408634025,"BCI",3.64665910398409,2010
6,0.567717528373266,0.705057245517368,"BCI",3.65844553158635,2015
1,0.231431646932185,0.2970426356092,"BKT",1.66447183998024,2006
1,0.109919571045576,0.139821772389337,"HKK",1.48333173760023,1994
2,0.12156862745098,0.165533317628205,"HKK",1.52501616192647,1999
3,0.111754767076997,0.146746950298322,"HKK",1.49965892563983,2004
4,0.107193901858028,0.160588098456529,"HKK",1.54116195773816,2009
1,0.67001369237791,0.754241268933774,"KCH",3.13074880760937,2000
2,0.657333333333333,0.737825977124706,"KCH",3.0673252364895,2005
3,0.626654898499559,0.718644283566679,"KCH",3.01281507762432,2010
